[2025-06-25 00:46:57] [INFO    ] discord.client: logging in using static token
[2025-06-25 00:46:58] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'TEST01_BOT', 'primary_guild': None, 'mfa_enabled': True, 'id': '1381282116649619528', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '7115', 'clan': None, 'bot': True, 'avatar': None}, 'session_type': 'normal', 'session_id': '7695c69ddf5c8215955d032078697262', 'resume_gateway_url': 'wss://gateway-us-east1-b.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1381306173118091514'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['singapore', 'hongkong', 'india', 'japan', 'dubai'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1381282116649619528', 'flags': 565248}, '_trace': ['["gateway-prd-us-east1-b-dfhw",{"micros":88318,"calls":["id_created",{"micros":856,"calls":[]},"session_lookup_time",{"micros":258,"calls":[]},"session_lookup_finished",{"micros":13,"calls":[]},"discord-sessions-prd-2-79",{"micros":86824,"calls":["start_session",{"micros":51575,"calls":["discord-api-rpc-6f464b865f-kjwrf",{"micros":42462,"calls":["get_user",{"micros":7043},"get_guilds",{"micros":3515},"send_scheduled_deletion_message",{"micros":13},"guild_join_requests",{"micros":594},"authorized_ip_coro",{"micros":12},"pending_payments",{"micros":1367},"apex_experiments",{"micros":5},"user_activities",{"micros":3},"played_application_ids",{"micros":2}]}]},"starting_guild_connect",{"micros":47,"calls":[]},"presence_started",{"micros":17596,"calls":[]},"guilds_started",{"micros":83,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":17502,"calls":[]},"connect_finished",{"micros":17507,"calls":[]},"build_ready",{"micros":13,"calls":[]},"clean_ready",{"micros":0,"calls":[]},"optimize_ready",{"micros":1,"calls":[]},"split_ready",{"micros":0,"calls":[]}]}]}]']}}
[2025-06-25 00:46:58] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-06-25 00:46:58] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: 7695c69ddf5c8215955d032078697262).
[2025-06-25 00:46:58] [DEBUG   ] discord.client: Dispatching event connect
[2025-06-25 00:46:58] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'application_id': None, 'activity_instances': [], 'afk_channel_id': None, 'profile': None, 'member_count': 2, 'vanity_url_code': None, 'incidents_data': None, 'members': [{'user': {'username': 'TEST01_BOT', 'public_flags': 0, 'primary_guild': None, 'id': '1381282116649619528', 'global_name': None, 'display_name': None, 'discriminator': '7115', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1381306430161817735'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-06-08T16:18:36.516000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'public_updates_channel_id': None, 'embedded_activities': [], 'banner': None, 'home_header': None, 'safety_alerts_channel_id': None, 'premium_subscription_count': 0, 'moderator_reporting': None, 'max_stage_video_channel_users': 50, 'premium_progress_bar_enabled': False, 'id': '1381306173118091514', 'emojis': [], 'unavailable': False, 'name': 'My Server', 'soundboard_sounds': [], 'max_video_channel_users': 25, 'lazy': True, 'stage_instances': [], 'hub_type': None, 'channels': [{'version': 1749399455228, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Text Channels', 'id': '1381306173642375308', 'flags': 0}, {'version': 1749399455231, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Voice Channels', 'id': '1381306173642375309', 'flags': 0}, {'version': 1749399455256, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1381306173642375308', 'name': 'general', 'last_message_id': '1387109193592475679', 'id': '1381306173642375310', 'icon_emoji': {'name': '👋', 'id': None}, 'flags': 0}, {'version': 1749399455267, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1381306173642375309', 'name': 'General', 'last_message_id': None, 'id': '1381306173642375311', 'icon_emoji': {'name': '🎙', 'id': None}, 'flags': 0, 'bitrate': 64000}], 'owner_id': '256781557316976641', 'threads': [], 'joined_at': '2025-06-08T16:18:36.516000+00:00', 'nsfw': False, 'premium_features': None, 'system_channel_id': '1381306173642375310', 'system_channel_flags': 0, 'description': None, 'rules_channel_id': None, 'guild_scheduled_events': [], 'verification_level': 0, 'default_message_notifications': 0, 'roles': [{'version': 1749399455216, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '2248473465835073', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '1381306173118091514', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1749399525099, 'unicode_emoji': None, 'tags': {'bot_id': '1381282116649619528'}, 'position': 1, 'permissions': '429497117696', 'name': 'TEST01_BOT', 'mentionable': False, 'managed': True, 'id': '1381306430161817735', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}], 'discovery_splash': None, 'stickers': [], 'application_command_counts': {}, 'preferred_locale': 'en-US', 'splash': None, 'afk_timeout': 300, 'voice_states': [], 'icon': None, 'features': [], 'inventory_settings': None, 'max_members': 500000, 'premium_tier': 0, 'presences': [], 'explicit_content_filter': 0, 'large': False, 'version': 1749399455275, 'nsfw_level': 0, 'latest_onboarding_question_id': None, 'mfa_level': 0, 'region': 'deprecated'}}
[2025-06-25 00:46:58] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-06-25 00:46:58] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_MEMBERS_CHUNK', 's': 3, 'op': 0, 'd': {'nonce': 'efd947704dfe45076a0364941cca6507', 'members': [{'user': {'username': '.justbryan', 'public_flags': 64, 'primary_guild': None, 'id': '256781557316976641', 'global_name': 'JustBryan', 'display_name': 'JustBryan', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '26d46b63e2dcd2c29b6f290c1d96dbaf'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-06-08T16:17:35.141000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'TEST01_BOT', 'public_flags': 0, 'primary_guild': None, 'id': '1381282116649619528', 'global_name': None, 'display_name': None, 'discriminator': '7115', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1381306430161817735'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-06-08T16:18:36.516000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'guild_id': '1381306173118091514', 'chunk_index': 0, 'chunk_count': 1}}
[2025-06-25 00:46:58] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-06-25 00:46:58] [DEBUG   ] discord.state: Processed a chunk for 2 members in guild ID 1381306173118091514.
[2025-06-25 00:47:00] [DEBUG   ] discord.client: Dispatching event guild_available
[2025-06-25 00:47:00] [DEBUG   ] discord.client: Dispatching event ready
[2025-06-25 00:47:13] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 4, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-06-24T16:47:13.450000+00:00', 'pinned': False, 'nonce': '1387111836444262400', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-06-08T16:17:35.141000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1387111837912404069', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '!RE=bawoo', 'components': [], 'channel_type': 0, 'channel_id': '1381306173642375310', 'author': {'username': '.justbryan', 'public_flags': 64, 'primary_guild': None, 'id': '256781557316976641', 'global_name': 'JustBryan', 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': '26d46b63e2dcd2c29b6f290c1d96dbaf'}, 'attachments': [], 'guild_id': '1381306173118091514'}}
[2025-06-25 00:47:13] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-06-25 00:47:13] [DEBUG   ] discord.client: Dispatching event message
[2025-06-25 00:47:14] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 5, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-06-24T16:47:14.916000+00:00', 'pinned': False, 'nonce': '4710087113872603976', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1381306430161817735'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-06-08T16:18:36.516000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1387111844061122713', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '```\nRE | AMX-107 Bawoo | ¥3,500 | 2016 November\nRE | AMX-107R Rebawoo | ¥4,200 | 2017 February\nRE | AMX-107 Bawoo Mass Production Type | ¥3,500 | 2017 September\n```', 'components': [], 'channel_type': 0, 'channel_id': '1381306173642375310', 'author': {'username': 'TEST01_BOT', 'public_flags': 0, 'primary_guild': None, 'id': '1381282116649619528', 'global_name': None, 'discriminator': '7115', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'attachments': [], 'guild_id': '1381306173118091514'}}
[2025-06-25 00:47:14] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-06-25 00:47:14] [DEBUG   ] discord.client: Dispatching event message
[2025-06-25 00:47:15] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1381306173642375310/messages with {"content":"```\nRE | AMX-107 Bawoo | \u00a53,500 | 2016 November\nRE | AMX-107R Rebawoo | \u00a54,200 | 2017 February\nRE | AMX-107 Bawoo Mass Production Type | \u00a53,500 | 2017 September\n```","components":[],"nonce":"4710087113872603976","enforce_nonce":true,"tts":false} has returned 200
[2025-06-25 00:47:15] [DEBUG   ] discord.http: POST /channels/{channel_id}/messages has found its initial rate limit bucket hash (3df15bae86f6647dd4dfcbd5c6949480).
[2025-06-25 00:47:15] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1381306173642375310/messages has received {'type': 0, 'content': '```\nRE | AMX-107 Bawoo | ¥3,500 | 2016 November\nRE | AMX-107R Rebawoo | ¥4,200 | 2017 February\nRE | AMX-107 Bawoo Mass Production Type | ¥3,500 | 2017 September\n```', 'mentions': [], 'mention_roles': [], 'attachments': [], 'embeds': [], 'timestamp': '2025-06-24T16:47:14.916000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1387111844061122713', 'channel_id': '1381306173642375310', 'author': {'id': '1381282116649619528', 'username': 'TEST01_BOT', 'avatar': None, 'discriminator': '7115', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False, 'nonce': '4710087113872603976'}
